Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,Body_new
54114957,1,,,2019-01-09 16:55:31,,1,881,"<p>I am integrating a payment solution which uses web hooks. The payment provider is given the Cognito userid (or user sub) during checkout. Upon successful checkout, the payment provider calls a web hook which I've implemented using AWS Lambda/Gateway and Python. Within this web hook I get the payment status and the Cognito user id.</p>

<p>What I'd like to do next is update or set an attribute on the given Cognito user id for the subscription status. </p>

<p>I've found pieces of JavaScript code which seem like they get me sort of there but I am missing something from how this should work. Here is the JS code I found to search for a user:</p>

<pre><code>var cog = new AWS.CognitoIdentityServiceProvider();

var filter = ""sub = \"""" + userSub + ""\"""";
var req = {
    ""Filter"": filter,
    ""UserPoolId"": ""your pool id"" // looks like us-east-9_KDFn1cvys
};

cog.listUsers(req, function(err, data) {
    if (err) {
        console.log(err);
    }
    else {
        if (data.Users.length === 1){ //as far as we search by sub, should be only one user.
            var user = data.Users[0];
            var attributes = data.Users[0].Attributes;
        } else {
            console.log(""Something wrong."");
        }
    }
});
</code></pre>

<p>I need a Python version of the above... also I am not quite sure how to initialize the AWS.CognitoIdentityServiceProvider in order to do the search. It seems like I need to have an IAM credentials set up in order to search a user identity pool, no? </p>

<p>Any pointers on how to search for a user in a Cognito identity pool using Python would be appreciated!</p>
",441638.0,,,,,2019-06-17 21:04:14,Looking for Python example to search for a Cognito identity and update attributes,<python-3.x><aws-lambda><boto3><amazon-cognito>,1,0,,,,CC BY-SA 4.0,I am integrating a payment solution which uses web hooks  The payment provider is given the Cognito userid (or user sub) during checkout  Upon successful checkout  the payment provider calls a web hook which Ive implemented using AWS Lambda/Gateway and Python  Within this web hook I get the payment status and the Cognito user id  What Id like to do next is update or set an attribute on the given Cognito user id for the subscription status   Ive found pieces of JavaScript code which seem like they get me sort of there but I am missing something from how this should work  Here is the JS code I found to search for a user:  I need a Python version of the above    also I am not quite sure how to initialize the AWS CognitoIdentityServiceProvider in order to do the search  It seems like I need to have an IAM credentials set up in order to search a user identity pool  no   Any pointers on how to search for a user in a Cognito identity pool using Python would be appreciated  
36036500,1,36161069.0,,2016-03-16 13:02:51,,0,627,"<p>I am using API Gateway to build a patch method.
In then <code>Integration Request - Mapping Template</code> i added:</p>

<pre><code>{ ""id"": ""$input.params('subscription-id')"",
  ""env"": ""$stageVariables['env']"",
  ""street"": $input.json('street'),
  ""address_name"": $input.json('address_name'),
  ""payment_day"": $input.json('payment_day'),
 }
</code></pre>

<p>As a patch http method, the user's API is not required to pass all the parameters.</p>

<p>So if the user doesn't pass, for e.g. payment_day, the field is going to be <code>''</code>. The <code>''</code> can be a valid value field. So i have two options:</p>

<ul>
<li>Put a NULL value on the payment_day field.</li>
<li>Remove the payment_day from JSON request.</li>
</ul>

<p>Is it possible to do this on <code>API Gateway Integration Request -Mapping Template</code>? Does anyone has a workaround?</p>
",312444.0,,,,,2016-03-22 17:18:59,Using AWS API Gateway to build a patch method,<amazon-web-services><aws-lambda><aws-api-gateway>,1,1,,,,CC BY-SA 3.0,I am using API Gateway to build a patch method  In then  i added:  As a patch http method  the users API is not required to pass all the parameters  So if the user doesnt pass  for e g  payment_day  the field is going to be   The  can be a valid value field  So i have two options:  Put a NULL value on the payment_day field  Remove the payment_day from JSON request   Is it possible to do this on   Does anyone has a workaround  
54287228,1,,,2019-01-21 09:47:52,,1,696,"<p>I have an AWS Lambda function which triggers https request to Google API. I want the function to be awaitable, so that it does not end immediately, but only after getting response from Google API.
Yes, I know I pay for the execution, but this will not be called often, so it is fine.</p>

<p>The problem is that the http request does not seem to fire correctly. The callback is never executed.</p>

<p>I have made sure that the async/await works as expected by using setTimeout in a Promise. So the issue is somewhere in the https.request.</p>

<p>Also note that I am using Pulumi to deploy to AWS, so there might be some hidden problem in there. I just can't figure out where.</p>

<hr>

<p><strong>The relevant code:</strong></p>

<p><em>AWS Lambda which calls the Google API</em></p>

<pre><code>import config from '../../config';
import { IUserInfo } from '../../interfaces';
const https = require('https');

function sendHttpsRequest(options: any): Promise&lt;any&gt; {
    console.log(`sending request to ${options.host}`);
    console.log(`Options are ${JSON.stringify(options)}`);

    return new Promise(function (resolve, reject) {
        console.log(` request to ${options.host} has been sent A`);

        let body = new Array&lt;Buffer&gt;();
        const request = https.request(options, function (res: any) {
            console.log('statusCode:', res.statusCode);
            console.log('headers:', res.headers);

            if (res.statusCode != 200) {
                reject(res.statusCode);
            }

            res.on('data', (data: any) =&gt; {
              console.log(`body length is ${body.length}`);
              console.log('data arrived', data);
              body.push(data);
              console.log('pushed to array');
              console.log(data.toString());
            });
        });

        request.on('end', () =&gt; {
            console.error('Request ended');
            // at this point, `body` has the entire request body stored in it as a string
            let result = Buffer.concat(body).toString();
            resolve(result);
        });

        request.on('error', async (err: Error) =&gt; {
          console.error('Errooooorrrr', err.stack);
          console.error('Errooooorrrr request failed');
          reject(err);
        });

        request.end();

      console.log(` request to ${options.host} has been sent B`);
    });
}

/**
 * AWS Lambda to create new Google account in TopMonks domain
 */
export default async function googleLambdaImplementation(userInfo: IUserInfo) {

    const payload = JSON.stringify({
        ""primaryEmail"": userInfo.topmonksEmail,
        ""name"": {
            ""givenName"": userInfo.firstName,
            ""familyName"": userInfo.lastName
        },
        ""password"": config.defaultPassword,
        ""changePasswordAtNextLogin"": true
    });

    const resultResponse: Response = {
        statusCode: 200,
        body: 'Default response. This should not come back to users'
    }     

    console.log('Calling google api via post request');

    try {
        const options = {
            host: 'www.googleapis.com',
            path: '/admin/directory/v1/users',
            method: 'POST',
            headers: {
                'Content-Type': 'application/json',
                'Content-Length': payload.length.toString()
            },
            form: payload
        }

        const responseFromGoogle = await sendHttpsRequest(options);
        console.log('responseFromGoogle', JSON.stringify(responseFromGoogle));
    }
    catch (err) {
        console.log('Calling google api failed with error', err);
        resultResponse.statusCode = 503;
        resultResponse.body = `Error creating new Google Account for ${userInfo.topmonksEmail}.`;
        return resultResponse;
    }

    console.log('request to google sent');
    return resultResponse;
 }
</code></pre>
",552194.0,,552194.0,,2019-01-22 13:10:28,2019-01-22 13:10:28,Awaiting http request in AWS Lambda / Pulumi,<node.js><amazon-web-services><aws-lambda><pulumi>,1,3,1.0,,,CC BY-SA 4.0,I have an AWS Lambda function which triggers https request to Google API  I want the function to be awaitable  so that it does not end immediately  but only after getting response from Google API  Yes  I know I pay for the execution  but this will not be called often  so it is fine  The problem is that the http request does not seem to fire correctly  The callback is never executed  I have made sure that the async/await works as expected by using setTimeout in a Promise  So the issue is somewhere in the https request  Also note that I am using Pulumi to deploy to AWS  so there might be some hidden problem in there  I just cant figure out where   The relevant code: AWS Lambda which calls the Google API  
36298053,1,36300028.0,,2016-03-30 01:28:16,,2,634,"<p><strong>My current Situation:</strong></p>

<p>I currently have a Python script that fetches data via HTTP endpoints and calculates and generates hundreds/thousands of reports daily. Currently it runs on an AWS EC2 instance where a queue is used to split the reports it needs to generate across four threads. Four at a time, the script fetches data, computes each report, and saves it to a PostgreSQL Amazon RDS.</p>

<p><strong>The Problem:</strong></p>

<p>As the project scales, my script won't be able to compute fast enough and won't be able to generate all the reports it needs in a day with the current method.</p>

<p><strong>Looking For a Solution:</strong></p>

<p>I stumbled across Amazon Lambda but I haven't found anyone using it for a use case similar to mine. My plan would be to upload/put each report needed to be generated into it's own S3 bucket then have the Lambda Function trigger when the bucket is created. The Lambda function would do all the data fetching (from HTTP endpoints) and all the calculations and save it to a row in my PostgreSQL Amazon RDS. In theory, this would make everything parallel and would eliminate the need for a queue waiting for resources to be freed up.</p>

<p>Basically I am looking for a solution to make sure my script is able to run daily and finish each day without over-running into the next day.</p>

<p><strong>My Questions:</strong></p>

<p>Would Amazon Lambda be suitable for something like this? </p>

<p>Would it be costly to do something like this with Amazon Lambda (creating hundreds/thousands of s3 buckets a day)? </p>

<p>Is there better options?</p>

<p>Any help, recommendations, insight, or tips is greatly appreciated. Thanks!</p>
",1076523.0,,,,,2016-03-30 13:07:38,Would Amazon Lambda Be Suitable for Computing Hundreds of Reports a Day in Parallel?,<python><amazon-web-services><amazon-s3><amazon-ec2><aws-lambda>,3,0,,,,CC BY-SA 3.0,My current Situation: I currently have a Python script that fetches data via HTTP endpoints and calculates and generates hundreds/thousands of reports daily  Currently it runs on an AWS EC2 instance where a queue is used to split the reports it needs to generate across four threads  Four at a time  the script fetches data  computes each report  and saves it to a PostgreSQL Amazon RDS  The Problem: As the project scales  my script wont be able to compute fast enough and wont be able to generate all the reports it needs in a day with the current method  Looking For a Solution: I stumbled across Amazon Lambda but I havent found anyone using it for a use case similar to mine  My plan would be to upload/put each report needed to be generated into its own S3 bucket then have the Lambda Function trigger when the bucket is created  The Lambda function would do all the data fetching (from HTTP endpoints) and all the calculations and save it to a row in my PostgreSQL Amazon RDS  In theory  this would make everything parallel and would eliminate the need for a queue waiting for resources to be freed up  Basically I am looking for a solution to make sure my script is able to run daily and finish each day without over-running into the next day  My Questions: Would Amazon Lambda be suitable for something like this   Would it be costly to do something like this with Amazon Lambda (creating hundreds/thousands of s3 buckets a day)   Is there better options  Any help  recommendations  insight  or tips is greatly appreciated  Thanks  
54473954,1,,,2019-02-01 06:21:53,,1,246,"<p>i am new to aws serverless, and trying to host django app in aws serverless.</p>

<p>now aws serverless uses s3 bucket for static website hosting which cost around $0.50 (I am in free tier). </p>

<p>my question is instead of hosting static website can i not give public access to s3 bucket? as it would save me money. is it possible to use public bucket for aws serverless?  </p>
",8576229.0,,,,,2019-02-01 09:08:51,give public access to s3 bucket rather than serving static website for aws serverless application,<django><amazon-web-services><amazon-s3><aws-serverless>,1,3,,,,CC BY-SA 4.0,i am new to aws serverless  and trying to host django app in aws serverless  now aws serverless uses s3 bucket for static website hosting which cost around $0 50 (I am in free tier)   my question is instead of hosting static website can i not give public access to s3 bucket  as it would save me money  is it possible to use public bucket for aws serverless    
55119544,1,55119883.0,,2019-03-12 10:43:58,,2,4664,"<p>I'm creating a monitoring system for an external API on which I need to invoke a function if the response is different from the initial request.</p>

<p>Currently without any long polling around my functions I've got the following: </p>

<pre><code>  let gameAPI = new game(
      [
        ""email@email.com"",
        ""password"",
        ""secret"",
        ""secret""
      ]
  );


  let lastModified;

  gameAPI.login().then(() =&gt; {

      gameAPI.getProfileStats(process.argv[2], process.argv[3], process.argv[4]).then(stats =&gt; {
          //first run grab this only
          if(lastModified &lt; stats.data.lastModified) {
              //we found new data, stop polling &amp; update mySQL database.
          } else {
              //continue to run every 1 minute...
          }
      });

  });
</code></pre>

<p>Would <strong><em>AWS Lambda</em></strong> be a good solution for this theory? if so, how would I go about doing it since Lambda charges for computer power usage?</p>
",2505093.0,,174777.0,,2019-03-12 22:06:32,2019-03-12 22:06:32,Long polling with AWS Lambda,<node.js><amazon-web-services><aws-lambda>,2,0,,,,CC BY-SA 4.0,Im creating a monitoring system for an external API on which I need to invoke a function if the response is different from the initial request  Currently without any long polling around my functions Ive got the following:   Would AWS Lambda be a good solution for this theory  if so  how would I go about doing it since Lambda charges for computer power usage  
55249817,1,55355058.0,,2019-03-19 20:54:26,,0,286,"<p>I have a Django app deployed on AWS Lambda through Zappa and my app needs to communicate with the public internet, so I need to use a NAT Instance. I am using a NAT instance because it's about 10x cheaper than a NAT Gateway using the free tier. The downside is that unlike NAT Gateway, a NAT Instance needs actual maintenance, and I am unsure what type of maintenance it needs. I want to learn about things I need to do to keep my server running well and healthy.</p>

<p>What are things I can do to make sure of that?</p>

<p>Here is my AWS Architecture:</p>

<p>All of the following is in my VPC. I have 1 subnet in ca-central-1a and 1 in ca-central-1b. In the route table, both subnets point to my NAT Instance. I have a 3rd subnet in ca-central-1b and in the route table it points to an internet gateway. My NAT Instance is in ca-central-1b.</p>

<p>My NAT Instance security group NATSG has HTTP and HTTPS inbounds from both of my subnets in ca-central-1a and ca-central-1b and outbound to 0.0.0.0/0. <strong>Should I make another NAT Instance in ca-central-1a and make it only inbound from the subnet in ca-central-1a i.e 1 NAT Instance for each subnet? Would that be healthier/safer?</strong></p>

<p>Extra information:</p>

<p><strong>I disabled Source/dest check. Was that a good idea?</strong></p>

<p>For my AMI I chose a recent community AMI amzn-ami-vpc-nat and I created an Auto Scale Group which has my NAT instance. It only has 1 instance, <strong>is there any point of the Auto Scale Group if there's only 1 instance in it?</strong> I am not sure that I am using the Auto Scale Group right, I simply created it but haven't configured anything.</p>
",8083096.0,,,,,2019-04-15 13:16:59,NAT Instance maintenance,<aws-lambda><aws-vpc>,2,6,,,,CC BY-SA 4.0,I have a Django app deployed on AWS Lambda through Zappa and my app needs to communicate with the public internet  so I need to use a NAT Instance  I am using a NAT instance because its about 10x cheaper than a NAT Gateway using the free tier  The downside is that unlike NAT Gateway  a NAT Instance needs actual maintenance  and I am unsure what type of maintenance it needs  I want to learn about things I need to do to keep my server running well and healthy  What are things I can do to make sure of that  Here is my AWS Architecture: All of the following is in my VPC  I have 1 subnet in ca-central-1a and 1 in ca-central-1b  In the route table  both subnets point to my NAT Instance  I have a 3rd subnet in ca-central-1b and in the route table it points to an internet gateway  My NAT Instance is in ca-central-1b  My NAT Instance security group NATSG has HTTP and HTTPS inbounds from both of my subnets in ca-central-1a and ca-central-1b and outbound to 0 0 0 0/0  Should I make another NAT Instance in ca-central-1a and make it only inbound from the subnet in ca-central-1a i e 1 NAT Instance for each subnet  Would that be healthier/safer  Extra information: I disabled Source/dest check  Was that a good idea  For my AMI I chose a recent community AMI amzn-ami-vpc-nat and I created an Auto Scale Group which has my NAT instance  It only has 1 instance  is there any point of the Auto Scale Group if theres only 1 instance in it  I am not sure that I am using the Auto Scale Group right  I simply created it but havent configured anything  
55260750,1,,,2019-03-20 12:25:07,,1,450,"<p>I am trying to send a Woocommerce webhook to AWS API Gateway. When i put in my API Gateway URL on Amazon I get the following error:</p>

<pre><code>Error: Delivery URL returned response code: 415
</code></pre>

<p>I think this is related to headers, there is an option to Create CORS in API-Gateway that I have now done. Which then adds an OPTION method but I still get <code>undefined</code> in Cloudwatch</p>

<p><a href=""https://i.stack.imgur.com/TRI1W.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/TRI1W.jpg"" alt=""enter image description here""></a></p>

<p>I created a POST method and used the mapping template below with application/json and the setting <code>When there are no templates defined (recommended)</code></p>

<pre><code>{
    ""body"" : $input.json('$'),
        ""headers"": {
        #foreach($header in $input.params().header.keySet())
        ""$header"": ""$util.escapeJavaScript($input.params().header.get($header))"" #if ($foreach.hasNext), #end

        #end
    }
}
</code></pre>

<p><a href=""https://i.stack.imgur.com/8c8tO.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/8c8tO.jpg"" alt=""enter image description here""></a></p>

<p>Here is a mini Lambda Node function that just outputs a Woocommerce order number to the console and shows in Cloudwatch whether the API passthrough is working.</p>

<pre><code>exports.handler = (event, context, callback, err) =&gt; {
    //callback(null, event.meta_data);
    if (err) console.log('JSON Pass Fail');  // an error occurred
    else console.log(event.order_key); // successful response
};
</code></pre>

<p>If anyone did want to have a go at re-creating this, you can knock up a quick Wordpress install on cPanel and install the Woocommerce Plugin. Setup a dummy product and then just use the Cash on Delivery as a payment method to get your ""Order Created"" webhooks firing. Only takes 2 minutes.</p>

<p>You can use <a href=""https://requestbin.com/"" rel=""nofollow noreferrer"">https://requestbin.com/</a> or webhook.site to test out webhook outputs.</p>

<p>Can anyone help sorting out the Headers so i can pass a Woocommerce payload to API Gateway?</p>
",9289798.0,,441757.0,,2019-03-20 12:29:26,2019-03-20 12:29:26,Woocommerce webhook to AWS API-Gateway : CORS/Header issue,<amazon-web-services><woocommerce><aws-lambda><aws-api-gateway>,0,6,0.0,,,CC BY-SA 4.0,I am trying to send a Woocommerce webhook to AWS API Gateway  When i put in my API Gateway URL on Amazon I get the following error:  I think this is related to headers  there is an option to Create CORS in API-Gateway that I have now done  Which then adds an OPTION method but I still get  in Cloudwatch  I created a POST method and used the mapping template below with application/json and the setting    Here is a mini Lambda Node function that just outputs a Woocommerce order number to the console and shows in Cloudwatch whether the API passthrough is working   If anyone did want to have a go at re-creating this  you can knock up a quick Wordpress install on cPanel and install the Woocommerce Plugin  Setup a dummy product and then just use the Cash on Delivery as a payment method to get your Order Created webhooks firing  Only takes 2 minutes  You can use  or webhook site to test out webhook outputs  Can anyone help sorting out the Headers so i can pass a Woocommerce payload to API Gateway  
55412624,1,55426800.0,,2019-03-29 07:42:19,,7,5254,"<p>If my Lambda function written in Python takes 1.8 seconds to initialize (during a cold start) and 400 ms to execute, am I charged for the 400 ms execution time or the entire 2.2 seconds of initialization + execution time?</p>

<p>From X-Ray, I see:</p>

<p><a href=""https://i.stack.imgur.com/T3FSQ.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/T3FSQ.png"" alt=""AWS X-Ray trace""></a></p>

<p>From CloudWatch logs, I see:</p>

<pre><code>Duration: 404.42 ms Billed Duration: 500 ms Memory Size: 448 MB Max Memory Used: 113 MB
</code></pre>

<p>What I understand from this is that I was billed for 500ms of execution time, so does that mean code initialization (e.g. importing stuff) is free?</p>
",1768141.0,,,,,2019-03-31 08:35:41,Does AWS Lambda charge for the time spent initializing code?,<amazon-web-services><aws-lambda><aws-billing>,5,0,1.0,,,CC BY-SA 4.0,If my Lambda function written in Python takes 1 8 seconds to initialize (during a cold start) and 400 ms to execute  am I charged for the 400 ms execution time or the entire 2 2 seconds of initialization + execution time  From X-Ray  I see:  From CloudWatch logs  I see:  What I understand from this is that I was billed for 500ms of execution time  so does that mean code initialization (e g  importing stuff) is free  
55716767,1,55719996.0,,2019-04-16 21:19:51,,6,483,"<p>when I make an unauthenticated (public) Cloud Run endpoint to host an API, what are my options to protect this endpoint from malicious users making billions of HTTP requests? </p>

<p>For $10 you can launch a Layer 7 <a href=""https://hackernoon.com/we-survived-a-ddos-attack-that-peaked-at-250k-requests-per-second-it-cost-us-10-b0bdfe028dd2"" rel=""nofollow noreferrer"">HTTP flood attack</a> that can send 250k requests per second. Let's assume your Cloud Run endpoints scale up and all requests are handled. For invocations alone, you will pay $360,-/hour (at $0.40 per million requests). </p>

<p>Note that there is a <a href=""https://cloud.google.com/run/docs/about-concurrency#concurrency_values"" rel=""nofollow noreferrer"">concurrency limit</a> and a <a href=""https://cloud.google.com/run/quotas#cloud_run_limits"" rel=""nofollow noreferrer"">max instance limit</a> that you might hit if the attack is not distributed over multiple Cloud Run endpoints. What other controls do I have? </p>

<p>As I understand, the usual defenses with <a href=""https://cloud.google.com/armor/docs/"" rel=""nofollow noreferrer"">Cloud Armor</a> and <a href=""https://cloud.google.com/cdn/docs/"" rel=""nofollow noreferrer"">Cloud CDN</a> are bound to the <a href=""https://cloud.google.com/load-balancing/docs/load-balancing-overview"" rel=""nofollow noreferrer"">Global Load Balancer</a>, which is unavailable for Cloud Run, but is available for Cloud Run on GKE. </p>
",141427.0,,141427.0,,2019-04-18 09:33:14,2019-05-13 06:00:29,Protect an unauthenticated Cloud Run endpoint,<google-cloud-platform><serverless><google-cloud-run>,1,3,2.0,,,CC BY-SA 4.0,when I make an unauthenticated (public) Cloud Run endpoint to host an API  what are my options to protect this endpoint from malicious users making billions of HTTP requests   For $10 you can launch a Layer 7  that can send 250k requests per second  Lets assume your Cloud Run endpoints scale up and all requests are handled  For invocations alone  you will pay $360 -/hour (at $0 40 per million requests)   Note that there is a  and a  that you might hit if the attack is not distributed over multiple Cloud Run endpoints  What other controls do I have   As I understand  the usual defenses with  and  are bound to the   which is unavailable for Cloud Run  but is available for Cloud Run on GKE   
