Id,Body_new
62363403,"I have a client website that serves the images through AWS CloudFront and S3  The images are in PNG format and the URL on the webpage is of the CloudFront domain rather than the custom domain  In order to reduce costs  we are planning to compress them to JPG format  However  we have found that the image URLs are hardcoded in the database  
The problem is when we compress the image to JPG  the file extension changes and thus the old URL will not work as it is  The client does not wants to make changes to the database right now  
Is there a way we can serve the compressed files (with a different extension) for the same requests coming from the webpage 
I was looking into a solution to route requests using Lambda Edge -  
Is there any other optimal solution for this which you could suggest  Is there a way CloudFront to check for both types of file (jpg and png) in S3 and serve one of them  Example: request came for images/car png -- &gt; CloudFront to check for both images/car png and images/car jpg  If jpg exists serve this one 
"
57220692,"I would like to get the usage cost report of each instance in my aws account form a period of time 
Im able to get linked_account_id and service in the output but I need instance_id as well  Please help

"
56704657,"Im confused about Firebase and serverless in general  as I was just introduced to this concept recently (note that Im still studying computer science and Im just exploring on my own now) 
In the past Ive been part of a project that had the following structure:

Front End in a Single-page-app
Back End built as a REST API

Now lets say I want to build a product  that might have a website and mobile apps  It also has to have backend logic as there are accounts  objects owned by users  and possible integration with a payment service 
What I initially expected from this  before knowning about serverless  is that you build a backend using something like Go (was my case)  where you handle all the database data and third-party integrations  build a front end with something like Vue  and then use the backends REST API to communicate between both of them 
Is this still the case with serverless  Do you build the whole backend server code  or does it work in another way 
I dont need/want you to explain all of it to me  I just need some insight on what is done and common so I can investigate further 
"
44863996,"I am making a simple app where the user can create a text post and optionally include media (pictures only for now  but videos in the future) 
Currently  the user sends a  request to API Gateway that invokes a Lambda function that inserts the post data into the database  This works great  API Gateway uses body mapping to format the event data  
In order to upload the media  it seems I have at least three options:

Make the HTTP  request as normal THEN upload the media to S3 (via Cloudfront )  

S3 would trigger a Lambda function that updates the post record with the media url 
This would require at least 2 API invocations on the frontend  - - 
What if the media upload fails  I would have to invoke another Lambda function to delete the post  What if that fails  This is a rabbit hole 

Upload the media to S3 (via Cloudfront ) THEN make the HTTP  request  

This would require 2 API invocations on the frontend  - - 
What if the  request fails  I would have extra objects in my bucket  I suppose I could have a bucket cleaning scheduled task but ugg  
Would the S3 key not correspond to the  of the post  ( is generated on database insertion )

Upload the media with the HTTP  request in  

This is how I have done it in the past  but I have also had a web server (not lambda)  If the photo isnt huge  the transfer to S3 should be relatively quick and my lambda costs wont increase too drastically  But what if I decide to add video  Now my lambda invocations would be seconds long  


What is the best practice here  This seems like a common problem but all the guides Ive found online are not concerned with the post data (only media data)  
"
56580868,"I have an AWS Lambda function which does a couple of API calls then saves whatever information it gets to a DynamoDB table 
Would it be a good practice for me send a message to an SQS queue after completing whatever the Lambda was doing  The queue will then trigger the Lambda function to start another process again 
So with regards to processing and the costs involved  is this a good idea or not 
The other idea I had was to trigger the Lambda function using a CloudWatch Event but the problem is I want it to start the new process once the old one has completed so if it happens that the Lambda function gets triggered while processing its then going to stuff up my records on DynamoDB 
So if anyone has a better solution or alternative let me know 
"
60682030,"I am working on an integration with a Vendor that can only send me XML requests in a predefined structure
That is not compatible with my system  
Changing the structure of the XML is possible but might be an expensive project if the Vendor would do it for me  
To try and solve this issue i was wondering  would it be possible to convert the said XML requests to JSON on the fly using an AWS Lambda function  
I was thinking about a solution in which an XML requests comes in from the Vendor to my ALB  converted to a JSON request using a Lambda function and returned to my system for processing in a JSON format  
Would this be a scalable solution 
"
69724457,"I am using AWS Lambda to host a nodeJs service that fetch my open invoices on Stripe and execute a payment and update my database 
The problem is that most of the time  but not all the time (sometimes everything goes how it should)  it hang on the call of invoice list and do nothing 
Heres the part of the code where log stops :

And here the log output :

And when it gooes all right its like that :

I dont get why it hangs with no error or log   
"
61312110,"Im creating my application with the as much serverless as possible premise  
Long story short  2 services cannot be implemented as lambda functions  hence I bet on ECS tasks with EC2 autoscaling groups  due to GPU requirements  etc  
After doing my homework on the Lambda + VPC resources lesson I was shocked theres no easy and pleasant way to expose VPC services extension of AWS services  So the official approach stands for incorporating a lambda function into a VPC plus establishing a NAT gateway/instance or VPC endpoints in order to reach the internet and AWS services  Moreover  I can read this is not recommended and should be treated as the final solution  It slows down lambda and increases cold starts 
Generally  I need access to the internet and reach other AWS services from the lambda  which must make requests to ECS tasks  Those tasks are crucial contributors to my flow Id like them to be easily callable from lambda functions  Im not sure if VPC lambdas would make sense if I need to pay for NAT  which is comparatively expensive  Maybe I missed something 
Is it possible to avoid incorporating lambdas into VPC and still be able to call ECS services  If not  what is the best way to cuts costs related to NAT 
Id appreciate any form of help 
"
58410362,"Ive already managed to create a lambda function that loads a model pb from S3 and apply object detection to an input image (installed tensorflow 1 12)
Is it possible to load a Sagemaker model/endpoint-configuration inside a lambda function   I mean install all packages needed inside the lambda  without deploying an endpoint/ec2-like instance 
I guess inference performance would drop  but the solution seems to be more cost effective and scalable ready 
"
35108295,"Id like to do Universal rendering of react components using serverless  react-router  lambda  API gateway and Cloudflare  How would you map the API gateway endpoint URLs to a server-side instance of react-router running inside an AWS lambda function in a way that was compatible with Cloudflare 
I found an interesting hack/approach to doing it with CloudFront (  )  but Id prefer using Cloudflare for cost and DDoS attack prevention reasons 
Thanks 
"
